category,question,answer,difficulty,grade_level,source,keyword_tag
Physics,What is Newton's first law of motion?,An object at rest stays at rest and an object in motion stays in motion unless acted upon by an external force.,Basic,Class 9,NCERT,Law of Inertia
Physics,What is Newton's second law of motion?,Force equals mass times acceleration (F = ma).,Basic,Class 9,NCERT,F=ma
Physics,What is Newton's third law of motion?,For every action there is an equal and opposite reaction.,Basic,Class 9,NCERT,Action-Reaction
Physics,What is the speed of light?,The speed of light in vacuum is approximately 3 x 10^8 meters per second.,Basic,Class 10,NCERT,Speed of light
Physics,What is the unit of force?,The unit of force is Newton (N).,Basic,Class 9,NCERT,Force unit
Physics,What is the unit of pressure?,The unit of pressure is Pascal (Pa).,Basic,Class 9,NCERT,Pressure unit
Physics,What is Ohm's law?,Voltage equals current times resistance (V = IR).,Basic,Class 10,NCERT,V=IR
Physics,What is the unit of electric current?,The unit of electric current is Ampere (A).,Basic,Class 10,NCERT,Current unit
Physics,What is the unit of resistance?,The unit of resistance is Ohm.,Basic,Class 10,NCERT,Resistance unit
Physics,What is the unit of power?,The unit of power is Watt (W).,Basic,Class 10,NCERT,Power unit
Physics,What is the unit of energy?,The unit of energy is Joule (J).,Basic,Class 9,NCERT,Energy unit
Physics,What is kinetic energy?,Kinetic energy is the energy possessed by an object due to its motion. KE = 1/2 mv^2.,Intermediate,Class 9,NCERT,KE formula
Physics,What is potential energy?,Potential energy is the energy stored in an object due to its position or state. PE = mgh.,Intermediate,Class 9,NCERT,PE formula
Physics,What is the law of conservation of energy?,Energy can neither be created nor destroyed; it can only be converted from one form to another.,Basic,Class 9,NCERT,Energy conservation
Physics,What is gravity?,Gravity is the force of attraction between two objects having mass. On Earth it is 9.8 m/s^2.,Basic,Class 9,NCERT,Gravity
Physics,Who discovered gravity?,Sir Isaac Newton discovered gravity when he observed an apple falling from a tree.,Basic,Class 9,NCERT,Newton gravity
Physics,What is the unit of frequency?,The unit of frequency is Hertz (Hz).,Basic,Class 10,NCERT,Frequency unit
Physics,What is sound?,Sound is a form of energy that travels as a longitudinal wave through a medium.,Basic,Class 9,NCERT,Sound wave
Physics,What is the speed of sound in air?,The speed of sound in air at room temperature is approximately 343 meters per second.,Intermediate,Class 9,NCERT,Sound speed
Physics,What is reflection of light?,Reflection is the bouncing back of light when it hits a surface.,Basic,Class 10,NCERT,Light reflection
Physics,What is refraction of light?,Refraction is the bending of light when it passes from one medium to another.,Basic,Class 10,NCERT,Light refraction
Physics,What is a convex lens?,A convex lens is thicker in the middle and converges light rays to a focal point.,Basic,Class 10,NCERT,Convex lens
Physics,What is a concave lens?,A concave lens is thinner in the middle and diverges light rays.,Basic,Class 10,NCERT,Concave lens
Physics,What is total internal reflection?,When light hits a boundary at an angle greater than the critical angle it is completely reflected back.,Intermediate,Class 10,NCERT,TIR
Physics,What is the electromagnetic spectrum?,It is the range of all types of electromagnetic radiation from gamma rays to radio waves.,Intermediate,Class 10,NCERT,EM spectrum
Physics,What are the colours of the rainbow?,"Violet, Indigo, Blue, Green, Yellow, Orange, Red (VIBGYOR).",Basic,Class 10,NCERT,VIBGYOR
Physics,What is the principle of a transformer?,A transformer works on the principle of electromagnetic induction.,Intermediate,Class 10,NCERT,Transformer
Physics,What is the difference between AC and DC?,AC (alternating current) changes direction periodically while DC (direct current) flows in one direction.,Basic,Class 10,NCERT,AC DC
Physics,What is nuclear fission?,Nuclear fission is the splitting of a heavy nucleus into smaller nuclei releasing large amounts of energy.,Advanced,Class 12,NCERT,Fission
Physics,What is nuclear fusion?,Nuclear fusion is the combining of two light nuclei to form a heavier nucleus releasing energy.,Advanced,Class 12,NCERT,Fusion
Physics,What is radioactivity?,Radioactivity is the spontaneous emission of radiation from the nucleus of an unstable atom.,Intermediate,Class 12,NCERT,Radioactivity
Physics,What is half-life?,Half-life is the time required for half of the radioactive atoms in a sample to decay.,Intermediate,Class 12,NCERT,Half-life
Physics,What is Archimedes principle?,A body immersed in a fluid experiences an upward buoyant force equal to the weight of fluid displaced.,Basic,Class 9,NCERT,Archimedes
Physics,What is Pascal's law?,Pressure applied to a confined fluid is transmitted equally in all directions.,Intermediate,Class 10,NCERT,Pascal law
Physics,What is Bernoulli's principle?,As the speed of a fluid increases its pressure decreases.,Advanced,Class 11,NCERT,Bernoulli
