s_no,category,question,answer,difficulty,grade_level,source,keyword_tag
1,Mathematics,What is 27 multiplied by 23?,621,Advanced,Class 6,NCERT,Multiplication
2,Mathematics,What is the sum of 74 and 87?,161,Basic,Class 6,Nepal Curriculum,Addition
3,Mathematics,What is the sum of 85 and 45?,130,Advanced,Class 11,Nepal Curriculum,Addition
4,Mathematics,What is the sum of 53 and 23?,76,Medium,Class 8,CDC Nepal,Addition
5,Mathematics,"Find the mean of the numbers 4, 7, 10, 13.",8.5,Advanced,Class 9,NCERT,Statistics
6,Mathematics,What is 47 multiplied by 90?,4230,Basic,Class 10,CBSE,Multiplication
7,Mathematics,What is the area of a rectangle with length 15 cm and width 7 cm?,105 cm²,Basic,Class 11,NCERT,Mensuration
8,Mathematics,Solve for x: 3x + 16 = 52,x = 12,Medium,Class 12,CBSE,Linear Equations
9,Mathematics,What is the formula for the volume of a cylinder?,πr²h,Advanced,Class 8,NCERT,Mensuration
10,Mathematics,What is 58 multiplied by 44?,2552,Advanced,Class 7,Nepal Curriculum,Multiplication
11,Mathematics,What is the circumference of a circle with radius 7 cm? (Use π=22/7),44 cm,Basic,Class 12,CDC Nepal,Circles
12,Mathematics,What is the value of sin 30°?,01-Feb,Advanced,Class 10,CBSE,Trigonometry
13,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Medium,Class 8,CDC Nepal,Commercial Mathematics
14,Mathematics,What is the HCF of 12 and 18?,6,Basic,Class 6,CBSE,HCF and LCM
15,Mathematics,Solve for x: 5x + 7 = 32,x = 5,Medium,Class 9,NCERT,Linear Equations
16,Mathematics,Solve: 3y - 7 = 14,y = 7,Advanced,Class 7,NCERT,Linear Equations
17,Mathematics,Find the value of tan 45°.,1,Medium,Class 10,CBSE,Trigonometry
18,Mathematics,What is the area of a rectangle with length 11 cm and width 15 cm?,165 cm²,Basic,Class 12,CBSE,Mensuration
19,Mathematics,Solve for x: 2x + 28 = 58,x = 15,Basic,Class 8,CBSE,Linear Equations
20,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 12,Nepal Curriculum,Algebra
21,Mathematics,Solve the quadratic equation x² - 5x + 6 = 0,x=2 or x=3,Advanced,Class 10,NCERT,Quadratic Equations
22,Mathematics,Simplify: 2(x + 3) - 4x,-2x + 6,Basic,Class 9,Nepal Curriculum,Algebra
23,Mathematics,What is the slope of the line y = 2x + 3?,2,Basic,Class 11,CDC Nepal,Coordinate Geometry
24,Mathematics,What is the sum of 70 and 80?,150,Advanced,Class 12,CBSE,Addition
25,Mathematics,What is the value of sin 30°?,01-Feb,Medium,Class 10,CBSE,Trigonometry
26,Mathematics,What is the number of sides in a hexagon?,6,Medium,Class 6,CDC Nepal,Polygons
27,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Basic,Class 10,NCERT,Probability
28,Mathematics,What is the sum of 90 and 17?,107,Advanced,Class 7,NCERT,Addition
29,Mathematics,What is the area of a rectangle with length 7 cm and width 13 cm?,91 cm²,Medium,Class 12,CDC Nepal,Mensuration
30,Mathematics,What is the HCF of 12 and 18?,6,Advanced,Class 6,CDC Nepal,HCF and LCM
31,Mathematics,Find the simple interest on Rs. 1000 at 5% per annum for 2 years.,Rs. 100,Medium,Class 8,NCERT,Commercial Mathematics
32,Mathematics,Solve: 3y - 7 = 14,y = 7,Medium,Class 7,CDC Nepal,Linear Equations
33,Mathematics,What is the sum of 53 and 23?,76,Basic,Class 11,Nepal Curriculum,Addition
34,Mathematics,What is the Pythagorean theorem?,a² + b² = c²,Basic,Class 8,Nepal Curriculum,Triangles
35,Mathematics,Find the probability of getting heads in a fair coin toss.,01-Feb,Basic,Class 10,NCERT,Probability
36,Mathematics,Convert 0.75 to a fraction in lowest terms.,03-Apr,Basic,Class 6,Nepal Curriculum,Fractions and Decimals
